timestamp,x,y,z
1754698684269,-0.1125,0.0073,9.8614
1754698684289,1.7990,0.0965,9.8822
1754698684309,2.7829,-0.1310,9.6890
1754698684329,2.8336,0.0793,9.8810
1754698684349,1.8694,0.0874,9.9038
1754698684369,0.0186,-0.0402,9.8357
1754698684389,-1.7812,0.0799,9.7216
1754698684409,-2.9622,0.0519,9.7605
1754698684429,-3.0006,-0.0351,9.7943
1754698684449,-1.8833,-0.0923,9.7905
1754698684469,0.1067,-0.1214,9.8768
1754698684489,1.8914,-0.1015,9.8893
1754698684509,2.8967,-0.0187,9.8496
1754698684529,2.7991,-0.0428,9.8760
1754698684549,1.9044,0.1223,9.8498
1754698684569,0.1329,0.0716,9.7858
1754698684589,-1.7595,-0.0477,9.7309
1754698684609,-2.7240,0.0616,9.7640
1754698684629,-2.8104,0.0922,9.8447
1754698684649,-1.8214,-0.0945,9.7722
1754698684669,-0.1489,-0.0587,9.6720
1754698684689,1.7514,0.0801,9.7635
1754698684709,2.7598,0.0345,9.7913
1754698684729,2.9810,0.0504,9.8752
1754698684749,1.8833,-0.0999,9.9461
1754698684769,0.1395,0.0563,9.6832
1754698684789,-1.6770,-0.1100,9.7855
1754698684809,-2.8386,0.0826,9.6958
1754698684829,-2.8400,-0.0292,9.7946
1754698684849,-1.7085,0.1284,9.7867
1754698684869,0.1236,-0.0570,9.8606
1754698684889,1.7145,-0.1249,9.8092
1754698684909,2.9164,0.0518,9.8613
1754698684929,2.7342,0.0279,9.6966
1754698684949,1.8615,0.0621,9.8132
1754698684969,0.0085,0.1259,9.8882
1754698684989,-1.6885,0.0939,9.6690
1754698685009,-2.9714,0.0144,9.7719
1754698685029,-2.8314,0.0622,9.7542
1754698685049,-1.7594,0.0366,9.7457
1754698685069,-0.1334,-0.1063,9.7190
1754698685089,1.8467,0.1478,9.6893
1754698685109,2.8158,-0.0437,9.9380
1754698685129,2.8994,0.0773,9.6618
1754698685149,1.8377,0.0042,9.6857
1754698685169,-0.0244,-0.0220,9.9208
1754698685189,-1.6392,0.0351,9.8045
1754698685209,-2.7125,-0.1106,9.6633
1754698685229,-2.7284,0.0714,9.7323
1754698685249,-1.8783,0.1011,9.7509
1754698685269,0.0499,-0.0914,9.8562
1754698685289,1.8501,0.0076,9.7342
1754698685309,2.8596,-0.1262,9.8186
1754698685329,2.7116,-0.0627,9.6621
1754698685349,1.6668,-0.0637,9.7594
1754698685369,-0.1325,0.0050,9.6646
1754698685389,-1.9086,0.0464,9.7760
1754698685409,-2.8598,-0.1371,9.7290
1754698685429,-2.9277,-0.1159,9.7297
1754698685449,-1.7876,-0.0804,9.8573
1754698685469,-0.1115,-0.0683,9.6970
1754698685489,1.6452,-0.0441,9.7433
1754698685509,2.7791,0.0558,9.9052
1754698685529,2.8871,0.0692,9.9062
1754698685549,1.6993,-0.0445,9.8786
1754698685569,0.1227,0.0983,9.7767
1754698685589,-1.6755,-0.1433,9.9234
1754698685609,-2.8868,0.1108,9.8546
1754698685629,-2.7474,0.0637,9.9484
1754698685649,-1.8855,0.0582,9.6863
1754698685669,-0.0280,0.0131,9.7297
1754698685689,1.8592,0.0071,9.8182
1754698685709,2.7959,-0.0436,9.7943
1754698685729,2.7868,-0.0526,9.8977
1754698685749,1.6917,-0.0967,9.7818
1754698685769,-0.1327,0.0625,9.6929
1754698685789,-1.8268,0.0693,9.8453
1754698685809,-2.8669,-0.1033,9.8322
1754698685829,-2.7803,0.1371,9.7508
1754698685849,-1.8054,-0.0067,9.9017
1754698685869,-0.1458,-0.1294,9.7931
1754698685889,1.7028,0.0226,9.6794
1754698685909,2.7674,-0.1110,9.7088
1754698685929,2.7614,-0.0656,9.8837
1754698685949,1.8058,0.0072,9.9264
1754698685969,-0.1139,0.0412,9.8632
1754698685989,-1.8876,-0.0547,9.6525
1754698686009,-2.9909,0.0469,9.8029
1754698686029,-2.9233,-0.1230,9.8930
1754698686049,-1.7375,-0.1148,9.8355
1754698686069,-0.0933,0.0722,9.9184
1754698686089,1.9117,-0.1021,9.9270
1754698686109,2.8687,0.1231,9.8095
1754698686129,2.9787,-0.0072,9.7328
1754698686149,1.8558,0.1090,9.7571
1754698686169,-0.0768,0.0580,9.7053
1754698686189,-1.7671,0.0696,9.7621
1754698686209,-2.7331,0.0669,9.8303
1754698686229,-2.7193,-0.1122,9.8169
1754698686249,-1.6412,0.0416,9.6547
1754698686269,-0.0848,-0.1356,9.6610
1754698686289,1.9009,0.0235,9.9112
1754698686309,2.7247,-0.0425,9.7438
1754698686329,2.8021,0.0587,9.8793
1754698686349,1.8915,-0.0465,9.8387
1754698686369,0.1351,-0.0110,9.9367
1754698686389,-1.6977,0.0428,9.9021
1754698686409,-2.9628,-0.0879,9.8338
1754698686429,-2.9077,0.0270,9.7312
1754698686449,-1.7160,0.0410,9.6967
1754698686469,0.1354,-0.0540,9.8196
1754698686489,1.8245,-0.0355,9.8380
1754698686509,2.9555,-0.0701,9.7466
1754698686529,2.9921,-0.0218,9.6904
1754698686549,1.6457,-0.0321,9.9380
1754698686569,-0.1498,-0.0391,9.7181
1754698686589,-1.8607,0.1325,9.9203
1754698686609,-2.8900,-0.1322,9.7434
1754698686629,-2.7505,-0.0790,9.8629
1754698686649,-1.7540,0.0357,9.6819
1754698686669,-0.0585,0.0322,9.8606
1754698686689,1.8818,0.1424,9.9326
1754698686709,2.9394,-0.0971,9.9413
1754698686729,2.7888,0.0486,9.7881
1754698686749,1.7525,0.0952,9.8382
1754698686769,-0.1023,0.1119,9.7628
1754698686789,-1.7557,-0.1401,9.8243
1754698686809,-2.9213,0.0890,9.8962
1754698686829,-2.9601,-0.0862,9.7795
1754698686849,-1.6878,0.0633,9.6566
1754698686869,0.1354,0.0204,9.7715
1754698686889,1.9057,-0.1386,9.7940
1754698686909,2.7790,-0.0101,9.6536
1754698686929,2.7692,-0.1339,9.9167
1754698686949,1.7746,0.0004,9.8006
1754698686969,-0.0407,-0.0340,9.7796
1754698686989,-1.8161,-0.1193,9.7651
1754698687009,-2.8867,-0.0112,9.8544
1754698687029,-2.7911,-0.0754,9.9186
1754698687049,-1.8627,-0.0295,9.9422
1754698687069,0.1085,0.1144,9.6950
1754698687089,1.6979,0.1449,9.9041
1754698687109,2.8335,0.0174,9.9256
1754698687129,2.8367,-0.1393,9.7289
1754698687149,1.8912,-0.0733,9.7593
1754698687169,-0.0226,-0.1217,9.9073
1754698687189,-1.8434,0.0805,9.7808
1754698687209,-2.7781,0.0193,9.8760
1754698687229,-2.9006,-0.1344,9.9020
1754698687249,-1.8452,0.0340,9.7183
1754698687269,0.1351,0.1193,9.8462
1754698687289,1.7506,0.0543,9.6953
1754698687309,2.7785,-0.0888,9.7988
1754698687329,2.9724,-0.0793,9.8659
1754698687349,1.6611,-0.0222,9.9075
1754698687369,-0.0648,-0.1164,9.7601
1754698687389,-1.8909,-0.1466,9.9394
1754698687409,-2.7803,0.1074,9.8389
1754698687429,-2.7988,-0.1423,9.7017
1754698687449,-1.9099,0.1391,9.7520
1754698687469,-0.1011,-0.1414,9.8842
1754698687489,1.7322,0.1234,9.8349
1754698687509,2.8870,0.1173,9.8289
1754698687529,2.8889,0.1450,9.8585
1754698687549,1.6874,-0.1406,9.8173
1754698687569,-0.0141,-0.1173,9.7185
1754698687589,-1.8044,0.1353,9.8034
1754698687609,-2.9942,0.1131,9.8352
1754698687629,-2.7463,-0.1074,9.8047
1754698687649,-1.7918,0.0850,9.6544
1754698687669,0.0385,0.1462,9.9216
1754698687689,1.8060,-0.0174,9.7944
1754698687709,2.7277,-0.0720,9.7453
1754698687729,2.9485,-0.0904,9.7692
1754698687749,1.6543,0.0843,9.7877
1754698687769,0.1178,-0.0711,9.7740
1754698687789,-1.8708,0.1053,9.7190
1754698687809,-2.8044,0.0721,9.7724
1754698687829,-2.9160,0.1024,9.8178
1754698687849,-1.8217,0.1126,9.8174
1754698687869,-0.0681,-0.0306,9.9466
1754698687889,1.7745,0.0997,9.8576
1754698687909,2.7498,-0.0769,9.8643
1754698687929,2.9228,0.0348,9.6601
1754698687949,1.8799,-0.0983,9.7424
1754698687969,0.0656,-0.0998,9.6824
1754698687989,-1.6244,0.1096,9.7709
1754698688009,-2.7073,0.0250,9.6839
1754698688029,-2.9726,0.0386,9.8104
1754698688049,-1.8712,-0.0958,9.7041
1754698688069,0.0425,0.0163,9.8003
1754698688089,1.7712,-0.0993,9.7098
1754698688109,2.9790,-0.0790,9.8743
1754698688129,2.7381,0.0135,9.8629
1754698688149,1.7774,0.1342,9.8683
1754698688169,-0.0633,0.0686,9.6785
1754698688189,-1.7770,-0.0274,9.7600
1754698688209,-2.9872,-0.0799,9.7162
1754698688229,-2.9711,0.0771,9.9137
1754698688249,-1.7985,-0.1111,9.9114
1754698688269,-0.0047,0.0264,9.7881
1754698688289,1.8754,0.1202,9.8860
1754698688309,2.8483,-0.0138,9.8840
1754698688329,2.9954,0.0914,9.7220
1754698688349,1.7075,-0.0024,9.7234
1754698688369,-0.0698,0.0721,9.8034
1754698688389,-1.9054,0.1370,9.8270
1754698688409,-2.8617,-0.0308,9.7549
1754698688429,-2.8381,0.1313,9.8780
1754698688449,-1.8994,-0.1118,9.8636
1754698688469,-0.1199,0.0306,9.7519
1754698688489,1.7400,-0.0510,9.7399
1754698688509,2.9009,-0.0358,9.7374
1754698688529,2.7967,0.1116,9.7908
1754698688549,1.6974,-0.1233,9.8847
1754698688569,-0.0692,0.1097,9.6648
1754698688589,-1.6669,-0.1446,9.8872
1754698688609,-2.7364,0.1498,9.8014
1754698688629,-2.9201,0.1282,9.8112
1754698688649,-1.8062,0.0033,9.8160
1754698688669,0.1472,0.0543,9.7148
1754698688689,1.8686,0.0744,9.7501
1754698688709,2.7299,-0.1432,9.8760
1754698688729,2.8492,0.0429,9.8403
1754698688749,1.8017,-0.0574,9.7194
1754698688769,-0.0637,-0.0217,9.6848
1754698688789,-1.6544,-0.1187,9.8905
1754698688809,-2.7669,0.0568,9.8728
1754698688829,-2.8170,-0.1113,9.6950
1754698688849,-1.6538,-0.0014,9.7864
1754698688869,0.1183,-0.0049,9.6603
1754698688889,1.6297,0.1348,9.6657
1754698688909,2.9923,-0.0238,9.7569
1754698688929,2.8528,-0.0698,9.7184
1754698688949,1.8508,0.1395,9.9417
1754698688969,-0.0724,0.0936,9.7701
1754698688989,-1.7522,-0.0348,9.6770
1754698689009,-2.8849,-0.1085,9.6740
1754698689029,-2.9613,-0.1262,9.9043
1754698689049,-1.8593,-0.0741,9.9271
1754698689069,0.0973,-0.0118,9.7949
1754698689089,1.7280,0.0444,9.7392
1754698689109,2.8474,-0.0560,9.7739
1754698689129,2.7709,0.0310,9.8112
1754698689149,1.8736,-0.1101,9.6873
1754698689169,-0.0837,0.0899,9.7371
1754698689189,-1.7320,-0.0545,9.7921
1754698689209,-2.8332,0.0822,9.7371
1754698689229,-2.8125,0.0849,9.8061
1754698689249,-1.6705,-0.1416,9.6907
1754698689269,-0.0205,-0.0592,9.7590
1754698689289,1.8375,0.1477,9.8695
1754698689309,2.8454,-0.0330,9.6565
1754698689329,2.7330,-0.0803,9.7163
1754698689349,1.8794,0.0002,9.6894
1754698689369,-0.0017,-0.0188,9.8952
1754698689389,-1.7468,-0.1442,9.6624
1754698689409,-2.9874,0.1169,9.6501
1754698689429,-2.9254,-0.1224,9.8175
1754698689449,-1.6175,-0.1162,9.8701
1754698689469,0.1346,0.0884,9.7545
1754698689489,1.6503,-0.0128,9.7434
1754698689509,2.7207,0.1069,9.6503
1754698689529,2.8349,-0.0195,9.7085
1754698689549,1.8609,0.0297,9.7165
1754698689569,-0.0990,0.0804,9.9252
1754698689589,-1.8858,-0.0909,9.7097
1754698689609,-2.7758,-0.1315,9.9204
1754698689629,-2.9677,0.1410,9.8650
1754698689649,-1.7108,-0.0345,9.7480
1754698689669,-0.0801,-0.1094,9.8015
1754698689689,1.8205,0.0158,9.8186
1754698689709,2.7110,-0.0971,9.6837
1754698689729,2.9208,-0.1493,9.8258
1754698689749,1.8011,0.1366,9.6787
1754698689769,0.1362,0.1373,9.7590
1754698689789,-1.6375,0.0098,9.7763
1754698689809,-2.9255,0.0290,9.8485
1754698689829,-2.7388,-0.0381,9.6818
1754698689849,-1.6206,-0.1124,9.8243
1754698689869,-0.0345,0.1222,9.9247
1754698689889,1.6189,0.1211,9.8294
1754698689909,2.8632,0.0988,9.7900
1754698689929,2.9789,-0.0698,9.7922
1754698689949,1.7825,0.0397,9.7502
1754698689969,-0.0392,-0.1216,9.7619
1754698689989,-1.6728,0.0217,9.7725
1754698690009,-2.9406,-0.1022,9.9417
1754698690029,-2.7104,-0.0035,9.6501
1754698690049,-1.6545,0.1297,9.8841
1754698690069,-0.1052,-0.1497,9.6522
1754698690089,1.7500,-0.1352,9.7261
1754698690109,2.7918,0.0018,9.7701
1754698690129,2.7082,0.0435,9.8912
1754698690149,1.6450,0.0567,9.6898
1754698690169,-0.1097,-0.0404,9.6838
1754698690189,-1.6379,-0.0142,9.9099
1754698690209,-2.7586,0.1034,9.9452
1754698690229,-2.9756,-0.0288,9.6867
1754698690249,-1.8669,-0.0295,9.6925
1754698690269,-0.0306,0.0666,9.9246
1754698690289,1.8121,0.1473,9.7268
1754698690309,2.9094,0.0625,9.7730
1754698690329,2.8663,0.1164,9.7839
1754698690349,1.7864,-0.1380,9.6634
1754698690369,0.0468,-0.0403,9.8332
1754698690389,-1.7604,0.1172,9.8030
1754698690409,-2.7579,0.0251,9.8822
1754698690429,-2.8061,0.1326,9.7462
1754698690449,-1.8036,-0.0203,9.7274
1754698690469,-0.1005,0.0741,9.8080
1754698690489,1.7647,0.0913,9.7899
1754698690509,2.9547,-0.1235,9.8273
1754698690529,2.7567,-0.0437,9.8220
1754698690549,1.7118,-0.0024,9.7638
1754698690569,-0.1282,-0.0812,9.8217
1754698690589,-1.6207,-0.0329,9.6707
1754698690609,-2.9162,-0.0711,9.9060
1754698690629,-2.7930,-0.0771,9.6541
1754698690649,-1.7720,0.0063,9.7884
1754698690669,-0.0080,-0.1453,9.7714
1754698690689,1.6623,-0.0522,9.8626
1754698690709,2.9123,0.1327,9.8182
1754698690729,2.8945,-0.0671,9.9188
1754698690749,1.8335,0.1299,9.7115
1754698690769,0.0746,-0.0209,9.7808
1754698690789,-1.6974,-0.1429,9.7520
1754698690809,-2.8221,-0.1176,9.7196
1754698690829,-2.8949,-0.0634,9.6564
1754698690849,-1.7683,0.0880,9.8776
1754698690869,0.1179,-0.0204,9.7410
1754698690889,1.6136,0.0779,9.8839
1754698690909,2.9021,-0.0768,9.6978
1754698690929,2.9794,0.1063,9.6687
1754698690949,1.6570,0.0560,9.8134
1754698690969,0.0813,0.0103,9.7186
1754698690989,-1.6977,-0.0085,9.6954
1754698691009,-2.7411,-0.0396,9.9268
1754698691029,-2.7169,-0.0799,9.7091
1754698691049,-1.8153,0.0033,9.7249
1754698691069,-0.0752,-0.0035,9.8924
1754698691089,1.6261,0.0447,9.8736
1754698691109,2.9010,-0.1417,9.8187
1754698691129,2.8560,0.0921,9.7340
1754698691149,1.7625,-0.1434,9.7931
1754698691169,-0.0044,0.0831,9.6554
1754698691189,-1.8550,-0.1355,9.6731
1754698691209,-2.8572,-0.0449,9.7478
1754698691229,-2.7639,0.1251,9.7387
1754698691249,-1.8038,-0.1215,9.8066
1754698691269,0.0721,0.0479,9.6822
1754698691289,1.6544,0.0272,9.8136
1754698691309,3.0005,-0.1111,9.6696
1754698691329,2.7189,-0.0660,9.7709
1754698691349,1.7633,0.1332,9.6557
1754698691369,-0.0791,0.1185,9.8630
1754698691389,-1.8671,0.1466,9.8484
1754698691409,-2.9598,0.1416,9.8963
1754698691429,-2.7420,-0.1112,9.6760
1754698691449,-1.6202,-0.0568,9.7875
1754698691469,0.0274,-0.1079,9.9220
1754698691489,1.7186,0.0263,9.8138
1754698691509,2.9381,-0.1133,9.9159
1754698691529,2.7663,-0.0235,9.7121
1754698691549,1.6424,-0.1240,9.8900
1754698691569,0.1046,0.0169,9.9116
1754698691589,-1.7446,0.1090,9.7297
1754698691609,-2.9434,-0.1067,9.7044
1754698691629,-2.7187,-0.0843,9.7220
1754698691649,-1.6296,-0.0486,9.7679
1754698691669,-0.0403,-0.0990,9.9127
1754698691689,1.6910,-0.0417,9.8116
1754698691709,2.8220,-0.0494,9.6654
1754698691729,2.7389,0.0313,9.8206
1754698691749,1.9069,0.0903,9.8052
1754698691769,-0.0726,0.1436,9.7366
1754698691789,-1.6559,0.1060,9.7747
1754698691809,-2.9189,0.0770,9.8218
1754698691829,-2.8024,0.1217,9.9452
1754698691849,-1.6446,-0.0575,9.7599
1754698691869,-0.0416,-0.0753,9.9469
1754698691889,1.8953,-0.0962,9.7387
1754698691909,2.8017,0.0164,9.8693
1754698691929,2.9885,-0.1292,9.9038
1754698691949,1.6236,0.1337,9.7551
1754698691969,-0.1078,-0.0198,9.9083
1754698691989,-1.6788,0.1068,9.6514
1754698692009,-2.7168,0.0465,9.9320
1754698692029,-2.7364,-0.0248,9.8914
1754698692049,-1.6478,-0.1214,9.7212
1754698692069,-0.0959,0.0642,9.6808
1754698692089,1.7708,-0.1447,9.9393
1754698692109,2.7814,0.1405,9.9151
1754698692129,2.9717,0.0067,9.7641
1754698692149,1.6404,-0.0542,9.6545
1754698692169,-0.0302,-0.1404,9.8330
1754698692189,-1.8151,-0.0653,9.9231
1754698692209,-2.9551,0.1240,9.7162
1754698692229,-2.9244,-0.1385,9.7240
1754698692249,-1.7043,-0.0192,9.6666
1754698692269,0.0618,0.0823,9.7239
1754698692289,1.6375,0.0687,9.9107
1754698692309,2.8348,0.0088,9.8634
1754698692329,2.8133,0.1477,9.8199
1754698692349,1.7205,-0.1117,9.7990
1754698692369,-0.0007,-0.0207,9.8997
1754698692389,-1.6163,-0.0705,9.9289
1754698692409,-2.7704,-0.0566,9.6535
1754698692429,-2.7393,-0.0123,9.6573
1754698692449,-1.8461,-0.0605,9.6769
1754698692469,-0.0579,-0.0871,9.7798
1754698692489,1.7622,-0.1001,9.7384
1754698692509,2.9064,-0.0177,9.7730
1754698692529,2.9191,-0.0941,9.9259
1754698692549,1.7107,0.0408,9.6783
1754698692569,0.0434,-0.1235,9.8422
1754698692589,-1.6949,-0.0750,9.9180
1754698692609,-2.9201,0.1103,9.6834
1754698692629,-2.9728,0.1415,9.8966
1754698692649,-1.6290,-0.0209,9.8160
1754698692669,-0.0654,-0.1492,9.8776
1754698692689,1.8011,-0.1448,9.7748
1754698692709,2.7815,-0.0458,9.8431
1754698692729,2.8756,-0.1398,9.8174
1754698692749,1.6572,-0.1466,9.7247
1754698692769,-0.0963,0.0304,9.7901
1754698692789,-1.8179,-0.0705,9.8508
1754698692809,-2.9449,0.1267,9.9229
1754698692829,-2.7620,0.0399,9.6633
1754698692849,-1.8511,-0.1259,9.7930
1754698692869,-0.0646,0.1243,9.8605
1754698692889,1.6488,-0.0174,9.8334
1754698692909,2.8325,0.0331,9.9169
1754698692929,2.9715,-0.1456,9.6697
1754698692949,1.7920,0.1450,9.7895
1754698692969,0.1191,-0.1424,9.8771
1754698692989,-1.7596,-0.1380,9.8804
1754698693009,-2.7378,0.0448,9.8135
1754698693029,-2.8319,-0.1444,9.7572
1754698693049,-1.7509,-0.1191,9.7972
1754698693069,-0.0575,0.0574,9.6553
1754698693089,1.7910,-0.1074,9.7165
1754698693109,2.9560,0.1203,9.7528
1754698693129,2.8759,-0.1352,9.8217
1754698693149,1.8255,-0.0797,9.7060
1754698693169,-0.0888,-0.1369,9.7131
1754698693189,-1.7252,-0.1486,9.8686
1754698693209,-2.7872,0.1283,9.6889
1754698693229,-2.8982,-0.0027,9.9216
1754698693249,-1.7067,0.1060,9.7262
1754698693269,0.0936,-0.1193,9.9011
1754698693289,1.8647,0.0282,9.7704
1754698693309,2.8256,-0.0864,9.8908
1754698693329,2.9600,-0.1347,9.8173
1754698693349,1.6901,-0.0456,9.8586
1754698693369,0.0275,0.0754,9.7356
1754698693389,-1.8392,0.0937,9.7949
1754698693409,-2.8888,-0.0867,9.6983
1754698693429,-2.8271,0.1427,9.8459
1754698693449,-1.8580,-0.0914,9.7048
1754698693469,0.1495,-0.0380,9.9264
1754698693489,1.9014,0.1053,9.9271
1754698693509,2.8372,-0.1390,9.8699
1754698693529,2.7153,-0.0011,9.7139
1754698693549,1.7948,-0.0570,9.6652
1754698693569,-0.0072,0.0632,9.7231
1754698693589,-1.6267,-0.0760,9.9071
1754698693609,-2.8765,-0.0153,9.8173
1754698693629,-2.8758,0.0788,9.8896
1754698693649,-1.8913,-0.0606,9.7779
1754698693669,-0.0443,-0.0398,9.8293
1754698693689,1.8854,-0.1433,9.8034
1754698693709,2.9024,0.1301,9.6797
1754698693729,2.9075,0.0986,9.8401
1754698693749,1.6996,-0.0702,9.8595
1754698693769,0.1408,-0.0538,9.8864
1754698693789,-1.6170,0.0811,9.7275
1754698693809,-2.7141,0.0679,9.9418
1754698693829,-2.9126,-0.0972,9.7843
1754698693849,-1.6714,0.0455,9.8674
1754698693869,-0.0331,0.0052,9.7988
1754698693889,1.8231,0.0885,9.6766
1754698693909,2.7709,0.1178,9.9440
1754698693929,2.8775,-0.0392,9.6675
1754698693949,1.7917,-0.0215,9.6871
1754698693969,0.0442,0.0636,9.7814
1754698693989,-1.6666,-0.0746,9.7989
1754698694009,-2.7609,0.0281,9.7713
1754698694029,-2.7837,0.1182,9.8932
1754698694049,-1.7948,-0.0431,9.7629
1754698694069,-0.1477,0.1368,9.7222
1754698694089,1.8243,-0.1175,9.6822
1754698694109,2.9277,0.0347,9.7299
1754698694129,2.8786,0.0517,9.9231
1754698694149,1.8418,-0.0167,9.9462
1754698694169,0.1142,0.0561,9.8747
1754698694189,-1.8396,-0.1028,9.7057
1754698694209,-2.8737,0.0627,9.7255
1754698694229,-2.7567,0.0632,9.9435
1754698694249,-1.9079,-0.0690,9.8706
1754698694269,0.0552,0.1219,9.7166
1754698694289,1.8686,-0.0972,9.7471
1754698694309,2.8331,-0.0680,9.9065
1754698694329,2.9803,-0.1304,9.7078
1754698694349,1.7686,0.0875,9.8878
1754698694369,0.0797,-0.0717,9.8675
1754698694389,-1.8886,-0.0290,9.9214
1754698694409,-2.8082,0.0177,9.8367
1754698694429,-2.9081,0.0424,9.7424
1754698694449,-1.8692,0.0189,9.8509
1754698694469,0.0040,0.0451,9.7663
1754698694489,1.6276,-0.1248,9.8788
1754698694509,2.9381,0.1034,9.8957
1754698694529,2.7449,-0.1111,9.7125
